1,2,3,4
0.075722,0.093932,0.11045,0.05632
0.076579,0.094346,0.11061,0.056417
0.079088,0.093486,0.11121,0.057032
0.078824,0.095983,0.10833,0.057247
0.078766,0.093075,0.11136,0.05596
0.079084,0.094545,0.10812,0.056653
0.078174,0.093865,0.10699,0.055987
0.079439,0.096591,0.11137,0.056297
0.076121,0.09536,0.11048,0.055863
0.079665,0.095733,0.10674,0.055872
0.078103,0.093922,0.10534,0.055182
0.077752,0.094992,0.10517,0.055032
0.080382,0.095519,0.10566,0.05663
0.079567,0.095403,0.10446,0.055987
0.079124,0.095316,0.10548,0.056636
0.078853,0.096371,0.10946,0.056588
0.078073,0.093579,0.10503,0.05524
0.078132,0.095576,0.10597,0.055975
0.079299,0.096215,0.10755,0.055118
0.079498,0.096283,0.10636,0.055713
0.079785,0.096759,0.10728,0.055623
0.079908,0.094992,0.10734,0.055174
0.080117,0.096919,0.10601,0.056987
0.079781,0.097398,0.10866,0.05647
0.077975,0.095397,0.10731,0.055824
0.078209,0.096882,0.10635,0.055569
0.077888,0.095699,0.10812,0.055824
0.078636,0.095353,0.10737,0.055525
0.079204,0.096513,0.10567,0.055627
0.078948,0.095495,0.10568,0.054717
0.080647,0.0955,0.10567,0.057174
0.077844,0.096068,0.105,0.055665
0.079416,0.096861,0.10737,0.056298
0.078721,0.098495,0.10888,0.056016
0.078559,0.095892,0.10373,0.055975
0.077267,0.096598,0.10707,0.056035
0.080283,0.097055,0.10572,0.056821
0.077796,0.096096,0.10812,0.056502
0.078864,0.097381,0.1075,0.056925
0.078933,0.097945,0.10786,0.056634
0.079087,0.095842,0.10608,0.056188
0.07807,0.095756,0.10382,0.055392
0.078619,0.095187,0.1027,0.055875
0.078542,0.097519,0.10756,0.055682
0.076928,0.095307,0.10569,0.056111
0.079312,0.096502,0.10779,0.056387
0.077712,0.095118,0.10718,0.056211
0.078624,0.096611,0.10541,0.056554
0.077362,0.0954,0.10356,0.055604
0.078894,0.097157,0.10555,0.056323
0.078948,0.096806,0.1042,0.056566
0.079797,0.096174,0.10503,0.055602
0.077316,0.096382,0.10389,0.057658
0.077048,0.094719,0.10587,0.055373
0.078728,0.096907,0.1059,0.056665
0.077732,0.096405,0.10531,0.055571
0.077826,0.095642,0.10394,0.054602
0.076406,0.094615,0.10295,0.054432
0.078564,0.097805,0.10624,0.054645
0.079077,0.096383,0.10677,0.056317
0.077496,0.0962,0.10535,0.054891
0.079628,0.095835,0.10501,0.057123
0.077343,0.096622,0.1029,0.05602
0.077624,0.09518,0.10673,0.055499
0.077433,0.096349,0.10291,0.056054
0.077865,0.096216,0.10559,0.055683
0.077058,0.096538,0.10556,0.055376
0.077372,0.096269,0.10475,0.054789
0.077678,0.096676,0.10467,0.056196
0.076095,0.094715,0.10428,0.05576
0.077116,0.097152,0.1068,0.056188
0.077776,0.096501,0.10454,0.057097
0.078418,0.098668,0.10506,0.056085
0.079228,0.097606,0.10705,0.056744
